lev.final,Taxon.mod,n,NSP,pcNSP
I,Bos.Bison,289,1091,26.48945921173236
I,carnivore,50,1091,4.582951420714941
I,Cervid,285,1091,26.12282309807516
I,herbivore,199,1091,18.240146654445464
I,Ursid,268,1091,24.56461961503208
I/J,Bos.Bison,15,86,17.441860465116278
I/J,carnivore,6,86,6.976744186046512
I/J,Cervid,17,86,19.767441860465116
I/J,herbivore,9,86,10.465116279069768
I/J,Ursid,39,86,45.348837209302324
J,Bos.Bison,23,239,9.623430962343097
J,carnivore,21,239,8.786610878661087
J,Cervid,18,239,7.531380753138076
J,herbivore,23,239,9.623430962343097
J,Ursid,154,239,64.43514644351464
J/K,Bos.Bison,4,43,9.30232558139535
J/K,carnivore,8,43,18.6046511627907
J/K,Cervid,5,43,11.627906976744185
J/K,herbivore,6,43,13.953488372093023
J/K,Ursid,20,43,46.51162790697674
K,Bos.Bison,40,154,25.97402597402597
K,carnivore,11,154,7.142857142857142
K,Cervid,22,154,14.285714285714285
K,herbivore,42,154,27.27272727272727
K,Ursid,39,154,25.324675324675322
