lev.final,TAXON,NISP
I,Aquila_chrysaetos,1
I,bird_unknown,5
I,Bison_priscus,14
I,Bos_Bison_sp.,218
I,Bos_primigenius,57
I,Canis_lupus,12
I,Canis_sp.,5
I,Capra_caucasica,10
I,Capra_ibex,36
I,Capra_sp.,45
I,Capreolus_capreolus,3
I,carnivore_large,53
I,carnivore_medium,60
I,carnivore_small,18
I,carnivore_unknown,1
I,Cervid_sp.,154
I,Cervus_elaphus,131
I,Crocuta_spelaea,21
I,Dama_dama,2
I,Equid_sp.,52
I,Equus_ferus,17
I,Equus_hydruntinus,6
I,fish_unknown,1
I,Hyaena_sp.,2
I,Leporid_sp.,5
I,mammal_unknown,2711
I,Megaloceros_giganteus,23
I,Panthera_leo_spelaea,5
I,Panthera_pardus,1
I,Rhino_sp.,2
I,Rupicapra_rupicapra,1
I,Sus_scrofa,2
I,ungulate_large,361
I,ungulate_medium_large,365
I,ungulate_small,10
I,ungulate_small_medium,56
I,unidentified,1
I,Ursus_arctos,4
I,Ursus_sp.,81
I,Ursus_spelaeus,182
I,Vulpes_vulpes,4
I/J,Bison_priscus,3
I/J,Bos_Bison_sp.,9
I/J,Bos_primigenius,3
I/J,Canis_lupus,2
I/J,Canis_sp.,1
I/J,Capra_sp.,2
I/J,Capreolus_capreolus,1
I/J,carnivore_large,4
I/J,carnivore_medium,3
I/J,Cervid_sp.,10
I/J,Cervus_elaphus,7
I/J,Crocuta_spelaea,2
I/J,Equid_sp.,1
I/J,Equus_hydruntinus,1
I/J,Gulo_gulo,1
I/J,mammal_unknown,137
I/J,Megaloceros_giganteus,1
I/J,Rupicapra_rupicapra,2
I/J,ungulate_large,32
I/J,ungulate_medium_large,16
I/J,ungulate_small_medium,4
I/J,Ursus_sp.,7
I/J,Ursus_spelaeus,32
J,Bison_priscus,3
J,Bos_Bison_sp.,16
J,Bos_primigenius,4
J,Canis_lupus,4
J,Capra_ibex,5
J,Capra_sp.,5
J,Capreolus_capreolus,1
J,carnivore_large,29
J,carnivore_medium,4
J,Cervid_sp.,14
J,Cervus_elaphus,4
J,Crocuta_spelaea,7
J,Cuon_alpinus,1
J,Equid_sp.,3
J,Equus_ferus,4
J,Equus_hydruntinus,1
J,Felidae_sp.,1
J,Gulo_gulo,1
J,Hyaena_sp.,4
J,Leporid_sp.,1
J,mammal_unknown,396
J,Panthera_pardus,1
J,Rangifer_tarandus,1
J,Rupicapra_rupicapra,1
J,Stephanorhinus_hemiotechus,2
J,ungulate_large,35
J,ungulate_medium_large,13
J,ungulate_small_medium,2
J,Ursus_arctos,3
J,Ursus_sp.,42
J,Ursus_spelaeus,108
J,Vulpes_vulpes,2
J/K,Bos_Bison_sp.,4
J/K,Canis_lupus,4
J/K,Capra_ibex,4
J/K,carnivore_large,7
J/K,carnivore_medium,1
J/K,Cervid_sp.,3
J/K,Cervus_elaphus,2
J/K,Crocuta_spelaea,1
J/K,Equid_sp.,1
J/K,Equus_ferus,1
J/K,Hyaena_sp.,2
J/K,mammal_unknown,46
J/K,Panthera_pardus,1
J/K,ungulate_large,10
J/K,ungulate_medium_large,3
J/K,Ursus_sp.,5
J/K,Ursus_spelaeus,15
K,Bison_priscus,7
K,Bos_Bison_sp.,30
K,Bos_primigenius,3
K,Canis_lupus,4
K,Capra_ibex,14
K,Capra_sp.,11
K,carnivore_large,30
K,carnivore_medium,12
K,carnivore_unknown,1
K,Cervid_sp.,17
K,Cervus_elaphus,5
K,Crocuta_spelaea,1
K,Equid_sp.,3
K,Equus_ferus,5
K,Equus_hydruntinus,4
K,mammal_unknown,261
K,Mammuthus_primigenius,1
K,Megaloceros_giganteus,3
K,Panthera_pardus,5
K,Sus_scrofa,2
K,ungulate_large,52
K,ungulate_medium_large,16
K,Ursus_sp.,8
K,Ursus_spelaeus,31
K,Vulpes_vulpes,1
