Taxon,BSC,Layer,Type,n,Total,%
carn,Large,I,cut,35,274,12.8
carn,Large,I/J,cut,0,39,0.0
carn,Large,J,cut,0,155,0.0
carn,Large,K,cut,1,44,2.3
carn,Large,I,scrape,11,274,4.0
carn,Large,I/J,scrape,2,39,5.1
carn,Large,J,scrape,0,155,0.0
carn,Large,J/K,scrape,0,21,0.0
carn,Large,K,scrape,2,44,4.5
carn,Large,I,marrow,5,274,1.8
carn,Large,I/J,marrow,0,39,0.0
carn,Large,J,marrow,0,155,0.0
carn,Large,J/K,marrow,0,21,0.0
carn,Large,K,marrow,1,44,2.3
carn,Medium,I,cut,1,23,4.3
carn,Medium,I/J,cut,0,2,0.0
carn,Medium,J,cut,1,11,9.1
carn,Medium,K,cut,0,1,0.0
carn,Medium,I,scrape,1,23,4.3
carn,Medium,I/J,scrape,0,2,0.0
carn,Medium,J,scrape,0,11,0.0
carn,Medium,J/K,scrape,0,3,0.0
carn,Medium,K,scrape,0,1,0.0
carn,Medium,I,marrow,1,23,4.3
carn,Medium,I/J,marrow,0,2,0.0
carn,Medium,J,marrow,0,11,0.0
carn,Medium,J/K,marrow,0,3,0.0
carn,Medium,K,marrow,0,1,0.0
carn,Small,I,cut,3,21,14.3
carn,Small,I/J,cut,2,4,50.0
carn,Small,J,cut,0,8,0.0
carn,Small,K,cut,0,5,0.0
carn,Small,I,scrape,3,21,14.3
carn,Small,I/J,scrape,0,4,0.0
carn,Small,J,scrape,0,8,0.0
carn,Small,J/K,scrape,0,4,0.0
carn,Small,K,scrape,0,5,0.0
carn,Small,I,marrow,0,21,0.0
carn,Small,I/J,marrow,0,4,0.0
carn,Small,J,marrow,0,8,0.0
carn,Small,J/K,marrow,0,4,0.0
carn,Small,K,marrow,0,5,0.0
herb,Large,I,cut,97,688,14.1
herb,Large,I/J,cut,9,48,18.8
herb,Large,J,cut,3,66,4.5
herb,Large,K,cut,3,100,3.0
herb,Large,I,scrape,29,688,4.2
herb,Large,I/J,scrape,2,48,4.2
herb,Large,J,scrape,4,66,6.1
herb,Large,J/K,scrape,0,15,0.0
herb,Large,K,scrape,3,100,3.0
herb,Large,I,marrow,44,688,6.4
herb,Large,I/J,marrow,2,48,4.2
herb,Large,J,marrow,5,66,7.6
herb,Large,J/K,marrow,1,15,6.7
herb,Large,K,marrow,7,100,7.0
herb,Medium,I,cut,117,757,15.5
herb,Medium,I/J,cut,12,36,33.3
herb,Medium,J,cut,2,42,4.8
herb,Medium,K,cut,2,51,3.9
herb,Medium,I,scrape,29,757,3.8
herb,Medium,I/J,scrape,5,36,13.9
herb,Medium,J,scrape,1,42,2.4
herb,Medium,J/K,scrape,1,9,11.1
herb,Medium,K,scrape,1,51,2.0
herb,Medium,I,marrow,27,757,3.6
herb,Medium,I/J,marrow,1,36,2.8
herb,Medium,J,marrow,0,42,0.0
herb,Medium,J/K,marrow,0,9,0.0
herb,Medium,K,marrow,4,51,7.8
herb,Small,I,cut,26,173,15.0
herb,Small,I/J,cut,1,10,10.0
herb,Small,J,cut,1,14,7.1
herb,Small,K,cut,2,26,7.7
herb,Small,I,scrape,3,173,1.7
herb,Small,I/J,scrape,0,10,0.0
herb,Small,J,scrape,0,14,0.0
herb,Small,J/K,scrape,0,4,0.0
herb,Small,K,scrape,0,26,0.0
herb,Small,I,marrow,1,173,0.6
herb,Small,I/J,marrow,0,10,0.0
herb,Small,J,marrow,0,14,0.0
herb,Small,J/K,marrow,0,4,0.0
herb,Small,K,marrow,1,26,3.8
