MAXILLA_MANDIBLE,lev.final,ELEMENT_MAMMAL,total.scored,I,II,III,IV,V,VI,VII,VIII,IX,juvenile,prime,old,pcj,pcp,pco
Maxilla,I,P4,4,0,3,0,0,0,0,0,0,1,3,0,1,75,0,25
Maxilla,J,P4,5,0,2,1,0,1,1,0,0,0,3,2,0,60,40,0
Maxilla,I,M1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,100
Maxilla,J,M1,2,0,1,1,0,0,0,0,0,0,2,0,0,100,0,0
Maxilla,K,M1,2,0,0,2,0,0,0,0,0,0,2,0,0,100,0,0
Maxilla,I,M2,5,0,0,1,2,0,0,0,0,2,1,2,2,20,40,40
Maxilla,J,M2,4,0,0,1,0,0,3,0,0,0,1,3,0,25,75,0
Maxilla,K,M2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,100
Mandible,I,m1,6,1,0,1,1,1,1,1,0,0,2,3,1,33.33333333333333,50,16.666666666666664
Mandible,J,m1,8,0,1,3,2,1,1,0,0,0,4,4,0,50,50,0
Mandible,K,m1,3,0,1,1,0,0,1,0,0,0,2,1,0,66.66666666666666,33.33333333333333,0
Mandible,I,m2,6,1,0,1,1,0,1,1,0,1,2,2,2,33.33333333333333,33.33333333333333,33.33333333333333
Mandible,J,m2,10,1,2,0,1,1,2,0,1,2,3,4,3,30,40,30
Mandible,K,m2,2,1,0,1,0,0,0,0,0,0,2,0,0,100,0,0
Mandible,I,m3,2,0,0,0,1,0,0,0,0,1,0,1,1,0,50,50
Mandible,J,m3,12,1,1,5,3,1,0,1,0,0,7,4,1,58.333333333333336,33.33333333333333,8.333333333333332
Mandible,K,m3,1,0,1,0,0,0,0,0,0,0,1,0,0,100,0,0
