Sq,Row,lev.mod.cont,NSP
DD,7,N1-I,768
DD,7,N1-I/J,245
DD,7,N1-J,124
DD,8,N1-I,1247
DD,8,N1-I/J,229
DD,8,N1-J,118
CC,6,N1-I,383
CC,6,N1-I/J,109
CC,6,N1-J,8
CC,7,N1-I,2259
CC,7,N1-I/J,120
CC,7,N1-J,215
CC,7,N1-J/K,8
CC,7,N1-K,75
CC,8,N1-I,1378
CC,8,N1-I/J,222
CC,8,N1-J,201
CC,8,N1-J/K,18
CC,8,N1-K,174
BB,7,N1-I,1067
BB,7,N1-I/J,31
BB,7,N1-J,88
BB,7,N1-J/K,56
BB,7,N1-K,329
BB,8,N1-I,1318
BB,8,N1-I/J,70
BB,8,N1-J,156
BB,8,N1-J/K,20
BB,8,N1-K,87
AA,7,N1-I,1560
AA,7,N1-I/J,71
AA,7,N1-J,63
AA,7,N1-J/K,49
AA,7,N1-K,45
AA,8,N1-I,1308
AA,8,N1-I/J,111
AA,8,N1-J,143
AA,8,N1-J/K,22
AA,9,N1-I/J,1
AA,9,N1-J,1
A,7,N1-I,447
A,7,N1-I/J,41
A,7,N1-J,34
A,7,N1-J/K,12
A,7,N1-K,4
A,8,N1-I,823
A,8,N1-I/J,142
A,8,N1-J,6
E,6,MS-I/J,13
E,6,MS-J,22
F,5,MS-I,64
F,5,MS-I/J,76
F,5,MS-J,16
F,6,MS-I,36
F,6,MS-I/J,8
F,6,MS-J,95
G,5,MS-I,33
G,5,MS-I/J,29
G,5,MS-J,4
