lev.final,Taxon.mod,Element.mod,NSP,type,n,pc
I,Bos Bison sp.,Axial,289,cut,4,1.384083044982699
I,Bos Bison sp.,Axial,289,marrow,0,0
I,Bos Bison sp.,Axial,289,scrape,1,0.34602076124567477
I,Bos Bison sp.,Cranium,289,cut,2,0.6920415224913495
I,Bos Bison sp.,Cranium,289,marrow,0,0
I,Bos Bison sp.,Cranium,289,scrape,0,0
I,Bos Bison sp.,Foot,289,cut,3,1.0380622837370241
I,Bos Bison sp.,Foot,289,marrow,0,0
I,Bos Bison sp.,Foot,289,scrape,0,0
I,Bos Bison sp.,Forelimb,289,cut,18,6.228373702422145
I,Bos Bison sp.,Forelimb,289,marrow,9,3.1141868512110724
I,Bos Bison sp.,Forelimb,289,scrape,5,1.7301038062283738
I,Bos Bison sp.,Hindlimb,289,cut,26,8.996539792387544
I,Bos Bison sp.,Hindlimb,289,marrow,13,4.498269896193772
I,Bos Bison sp.,Hindlimb,289,scrape,7,2.422145328719723
I,Bos Bison sp.,Indeterminate,289,cut,2,0.6920415224913495
I,Bos Bison sp.,Indeterminate,289,marrow,0,0
I,Bos Bison sp.,Indeterminate,289,scrape,0,0
I,Bos Bison sp.,Long bone,289,cut,2,0.6920415224913495
I,Bos Bison sp.,Long bone,289,marrow,0,0
I,Bos Bison sp.,Long bone,289,scrape,0,0
I,Canis lupus,Forelimb,12,cut,1,8.333333333333332
I,Canis lupus,Forelimb,12,marrow,0,0
I,Canis lupus,Forelimb,12,scrape,0,0
I,Canis lupus,Hindlimb,12,cut,1,8.333333333333332
I,Canis lupus,Hindlimb,12,marrow,0,0
I,Canis lupus,Hindlimb,12,scrape,1,8.333333333333332
I,Capra sp.,Foot,91,cut,4,4.395604395604396
I,Capra sp.,Foot,91,marrow,0,0
I,Capra sp.,Foot,91,scrape,0,0
I,Capra sp.,Forelimb,91,cut,5,5.4945054945054945
I,Capra sp.,Forelimb,91,marrow,1,1.098901098901099
I,Capra sp.,Forelimb,91,scrape,1,1.098901098901099
I,Capra sp.,Hindlimb,91,cut,5,5.4945054945054945
I,Capra sp.,Hindlimb,91,marrow,0,0
I,Capra sp.,Hindlimb,91,scrape,0,0
I,Capreolus capreolus,Forelimb,3,cut,1,33.33333333333333
I,Capreolus capreolus,Forelimb,3,marrow,0,0
I,Capreolus capreolus,Forelimb,3,scrape,0,0
I,Cervid,Axial,285,cut,3,1.0526315789473684
I,Cervid,Axial,285,marrow,0,0
I,Cervid,Axial,285,scrape,0,0
I,Cervid,Cranium,285,cut,2,0.7017543859649122
I,Cervid,Cranium,285,marrow,0,0
I,Cervid,Cranium,285,scrape,0,0
I,Cervid,Forelimb,285,cut,23,8.070175438596491
I,Cervid,Forelimb,285,marrow,4,1.4035087719298245
I,Cervid,Forelimb,285,scrape,10,3.508771929824561
I,Cervid,Hindlimb,285,cut,29,10.175438596491228
I,Cervid,Hindlimb,285,marrow,6,2.1052631578947367
I,Cervid,Hindlimb,285,scrape,5,1.7543859649122806
I,Crocuta spelaea,Foot,21,cut,1,4.761904761904762
I,Crocuta spelaea,Foot,21,marrow,0,0
I,Crocuta spelaea,Foot,21,scrape,0,0
I,Equid sp.,Axial,69,cut,2,2.898550724637681
I,Equid sp.,Axial,69,marrow,0,0
I,Equid sp.,Axial,69,scrape,1,1.4492753623188406
I,Equid sp.,Forelimb,69,cut,1,1.4492753623188406
I,Equid sp.,Forelimb,69,marrow,0,0
I,Equid sp.,Forelimb,69,scrape,2,2.898550724637681
I,Equid sp.,Hindlimb,69,cut,3,4.3478260869565215
I,Equid sp.,Hindlimb,69,marrow,2,2.898550724637681
I,Equid sp.,Hindlimb,69,scrape,0,0
I,Equid sp.,Metapodial,69,cut,1,1.4492753623188406
I,Equid sp.,Metapodial,69,marrow,0,0
I,Equid sp.,Metapodial,69,scrape,0,0
I,Megaloceros giganteus,Hindlimb,23,cut,2,8.695652173913043
I,Megaloceros giganteus,Hindlimb,23,marrow,1,4.3478260869565215
I,Megaloceros giganteus,Hindlimb,23,scrape,2,8.695652173913043
I,Panthera leo spelaeus,Forelimb,5,cut,1,20
I,Panthera leo spelaeus,Forelimb,5,marrow,0,0
I,Panthera leo spelaeus,Forelimb,5,scrape,0,0
I,Rupicapra rupicapra,Forelimb,1,cut,1,100
I,Rupicapra rupicapra,Forelimb,1,marrow,0,0
I,Rupicapra rupicapra,Forelimb,1,scrape,1,100
I,ungulate large,Axial,374,cut,10,2.6737967914438503
I,ungulate large,Axial,374,marrow,2,0.53475935828877
I,ungulate large,Axial,374,scrape,6,1.6042780748663104
I,ungulate large,Cranium,374,cut,3,0.8021390374331552
I,ungulate large,Cranium,374,marrow,0,0
I,ungulate large,Cranium,374,scrape,0,0
I,ungulate large,Forelimb,374,cut,2,0.53475935828877
I,ungulate large,Forelimb,374,marrow,1,0.267379679144385
I,ungulate large,Forelimb,374,scrape,2,0.53475935828877
I,ungulate large,Hindlimb,374,cut,2,0.53475935828877
I,ungulate large,Hindlimb,374,marrow,0,0
I,ungulate large,Hindlimb,374,scrape,0,0
I,ungulate large,Indeterminate,374,cut,2,0.53475935828877
I,ungulate large,Indeterminate,374,marrow,0,0
I,ungulate large,Indeterminate,374,scrape,0,0
I,ungulate large,Long bone,374,cut,18,4.81283422459893
I,ungulate large,Long bone,374,marrow,18,4.81283422459893
I,ungulate large,Long bone,374,scrape,3,0.8021390374331552
I,ungulate large,Metapodial,374,cut,1,0.267379679144385
I,ungulate large,Metapodial,374,marrow,0,0
I,ungulate large,Metapodial,374,scrape,0,0
I,ungulate medium large,Axial,397,cut,21,5.289672544080604
I,ungulate medium large,Axial,397,marrow,0,0
I,ungulate medium large,Axial,397,scrape,8,2.0151133501259446
I,ungulate medium large,Cranium,397,cut,2,0.5037783375314862
I,ungulate medium large,Cranium,397,marrow,0,0
I,ungulate medium large,Cranium,397,scrape,0,0
I,ungulate medium large,Forelimb,397,cut,4,1.0075566750629723
I,ungulate medium large,Forelimb,397,marrow,0,0
I,ungulate medium large,Forelimb,397,scrape,0,0
I,ungulate medium large,Hindlimb,397,cut,5,1.2594458438287155
I,ungulate medium large,Hindlimb,397,marrow,1,0.2518891687657431
I,ungulate medium large,Hindlimb,397,scrape,1,0.2518891687657431
I,ungulate medium large,Indeterminate,397,cut,1,0.2518891687657431
I,ungulate medium large,Indeterminate,397,marrow,0,0
I,ungulate medium large,Indeterminate,397,scrape,0,0
I,ungulate medium large,Long bone,397,cut,19,4.785894206549118
I,ungulate medium large,Long bone,397,marrow,12,3.022670025188917
I,ungulate medium large,Long bone,397,scrape,2,0.5037783375314862
I,ungulate medium large,Metapodial,397,cut,1,0.2518891687657431
I,ungulate medium large,Metapodial,397,marrow,1,0.2518891687657431
I,ungulate medium large,Metapodial,397,scrape,0,0
I,ungulate small,Axial,11,cut,1,9.090909090909092
I,ungulate small,Axial,11,marrow,0,0
I,ungulate small,Axial,11,scrape,0,0
I,ungulate small medium,Axial,63,cut,4,6.349206349206349
I,ungulate small medium,Axial,63,marrow,0,0
I,ungulate small medium,Axial,63,scrape,0,0
I,ungulate small medium,Cranium,63,cut,1,1.5873015873015872
I,ungulate small medium,Cranium,63,marrow,0,0
I,ungulate small medium,Cranium,63,scrape,0,0
I,ungulate small medium,Hindlimb,63,cut,1,1.5873015873015872
I,ungulate small medium,Hindlimb,63,marrow,0,0
I,ungulate small medium,Hindlimb,63,scrape,0,0
I,ungulate small medium,Long bone,63,cut,3,4.761904761904762
I,ungulate small medium,Long bone,63,marrow,0,0
I,ungulate small medium,Long bone,63,scrape,0,0
I,Ursid,Axial,268,cut,2,0.7462686567164178
I,Ursid,Axial,268,marrow,0,0
I,Ursid,Axial,268,scrape,0,0
I,Ursid,Cranium,268,cut,3,1.1194029850746268
I,Ursid,Cranium,268,marrow,0,0
I,Ursid,Cranium,268,scrape,5,1.8656716417910446
I,Ursid,Foot,268,cut,6,2.2388059701492535
I,Ursid,Foot,268,marrow,0,0
I,Ursid,Foot,268,scrape,1,0.3731343283582089
I,Ursid,Forelimb,268,cut,13,4.850746268656716
I,Ursid,Forelimb,268,marrow,3,1.1194029850746268
I,Ursid,Forelimb,268,scrape,4,1.4925373134328357
I,Ursid,Hindlimb,268,cut,7,2.6119402985074625
I,Ursid,Hindlimb,268,marrow,2,0.7462686567164178
I,Ursid,Hindlimb,268,scrape,1,0.3731343283582089
I,Ursid,Indeterminate,268,cut,1,0.3731343283582089
I,Ursid,Indeterminate,268,marrow,0,0
I,Ursid,Indeterminate,268,scrape,0,0
I,Ursid,Long bone,268,cut,2,0.7462686567164178
I,Ursid,Long bone,268,marrow,0,0
I,Ursid,Long bone,268,scrape,0,0
I,Vulpes vulpes,Forelimb,4,cut,1,25
I,Vulpes vulpes,Forelimb,4,marrow,0,0
I,Vulpes vulpes,Forelimb,4,scrape,1,25
I/J,Bos Bison sp.,Axial,15,cut,1,6.666666666666667
I/J,Bos Bison sp.,Axial,15,marrow,0,0
I/J,Bos Bison sp.,Axial,15,scrape,0,0
I/J,Bos Bison sp.,Cranium,15,cut,1,6.666666666666667
I/J,Bos Bison sp.,Cranium,15,marrow,0,0
I/J,Bos Bison sp.,Cranium,15,scrape,0,0
I/J,Bos Bison sp.,Forelimb,15,cut,4,26.666666666666668
I/J,Bos Bison sp.,Forelimb,15,marrow,0,0
I/J,Bos Bison sp.,Forelimb,15,scrape,0,0
I/J,Bos Bison sp.,Hindlimb,15,cut,1,6.666666666666667
I/J,Bos Bison sp.,Hindlimb,15,marrow,0,0
I/J,Bos Bison sp.,Hindlimb,15,scrape,0,0
I/J,Canis sp.,Hindlimb,1,cut,1,100
I/J,Canis sp.,Hindlimb,1,marrow,0,0
I/J,Canis sp.,Hindlimb,1,scrape,0,0
I/J,Cervid,Axial,17,cut,2,11.76470588235294
I/J,Cervid,Axial,17,marrow,0,0
I/J,Cervid,Axial,17,scrape,0,0
I/J,Cervid,Forelimb,17,cut,2,11.76470588235294
I/J,Cervid,Forelimb,17,marrow,0,0
I/J,Cervid,Forelimb,17,scrape,2,11.76470588235294
I/J,Cervid,Hindlimb,17,cut,2,11.76470588235294
I/J,Cervid,Hindlimb,17,marrow,1,5.88235294117647
I/J,Cervid,Hindlimb,17,scrape,1,5.88235294117647
I/J,Gulo Gulo,Cranium,1,cut,1,100
I/J,Gulo Gulo,Cranium,1,marrow,0,0
I/J,Gulo Gulo,Cranium,1,scrape,0,0
I/J,ungulate large,Axial,32,cut,1,3.125
I/J,ungulate large,Axial,32,marrow,0,0
I/J,ungulate large,Axial,32,scrape,1,3.125
I/J,ungulate large,Long bone,32,cut,1,3.125
I/J,ungulate large,Long bone,32,marrow,2,6.25
