lev.final,BONE_LENGTH
I,20.06
I,20.07
I,20.07
I,20.07
I,20.08
I,20.09
I,20.1
J,20.11
I,20.12
I,20.16
I,20.18
I,20.18
I,20.19
I,20.2
I,20.21
I,20.21
I,20.21
I,20.23
I,20.24
I,20.25
I,20.26
I,20.26
I,20.26
I,20.27
I,20.28
I,20.29
I,20.3
I,20.3
I,20.31
I,20.33
J,20.34
I,20.34
I,20.35
I,20.36
K,20.36
I,20.38
I,20.4
I,20.41
I,20.43
K,20.44
I,20.44
I,20.48
I,20.49
I,20.5
I,20.52
I,20.52
I,20.53
I,20.53
K,20.54
I,20.54
I,20.54
I,20.55
I,20.56
I,20.56
I,20.56
I,20.56
K,20.57
I,20.57
I,20.58
I,20.59
I,20.59
I,20.59
I,20.59
I,20.59
I,20.61
I,20.62
I,20.63
I,20.64
I,20.64
I,20.64
I,20.66
I,20.68
I,20.68
I,20.69
I,20.7
I,20.7
I,20.74
I,20.74
I,20.75
I,20.78
I,20.79
I,20.79
I,20.8
I,20.8
J,20.8
I,20.81
K,20.83
I,20.84
I,20.84
I,20.84
I,20.85
I,20.85
I,20.85
I,20.86
I,20.87
I,20.87
K,20.88
I,20.89
I,20.9
I,20.9
I,20.91
I,20.93
I,20.96
I,20.96
I,20.96
I,20.96
J,20.98
I,20.98
I,20.98
I,20.99
I,21.03
I,21.03
I,21.04
I,21.04
I,21.04
I,21.07
I,21.09
I,21.09
I,21.1
I,21.1
I,21.11
I,21.11
I,21.12
K,21.12
I,21.13
I,21.14
I,21.15
I,21.15
I,21.16
I,21.16
I,21.17
I,21.19
K,21.19
I,21.2
I,21.22
I,21.23
I,21.23
I,21.23
I,21.23
I,21.24
I,21.24
I,21.24
I,21.25
I,21.25
I,21.27
I,21.28
K,21.28
I,21.28
I,21.28
I,21.29
I,21.3
K,21.31
K,21.31
I,21.31
I,21.32
I,21.32
I,21.34
I,21.36
I,21.37
I,21.38
I,21.38
I,21.38
I,21.4
I,21.4
K,21.41
I,21.41
I,21.43
J,21.45
I,21.46
I,21.47
I,21.48
I,21.48
I,21.48
I,21.49
J,21.49
I,21.5
I,21.5
I,21.51
