Layer,Taxon.mod,BONE_LENGTH
I,Cervid,20.91
I,Ursid,21.25
I,Cervid,21.61
I,Ursid,21.68
I,Cervid,21.78
I,Cervid,21.86
I,Bos.Bison,22.13
I,Cervid,22.2
I,Ursid,22.3
I,Cervid,22.53
I,Ursid,22.63
I,Cervid,22.78
I,Cervid,22.84
I,Bos.Bison,22.94
I,Ursid,23.26
I,Cervid,23.26
I,Cervid,23.43
I,Ursid,23.57
I,Cervid,23.85
I,Cervid,24.65
I,Cervid,25.22
I,Ursid,25.23
I,Cervid,25.26
I,Cervid,25.28
I,Cervid,25.31
I,Cervid,25.37
K,Cervid,25.42
I,Cervid,25.47
I,Cervid,25.55
I,Bos.Bison,25.57
I,Cervid,25.64
I,Ursid,25.66
I,Ursid,25.74
I,Cervid,25.77
I,Ursid,26.22
I,Cervid,26.32
I,Bos.Bison,26.43
I,Cervid,26.45
I,Ursid,26.66
K,Cervid,26.7
I,Ursid,26.89
I,Bos.Bison,27.19
I,Cervid,27.2
I,Ursid,27.35
I,Cervid,27.54
I,Cervid,27.55
I,Ursid,27.57
I,Cervid,27.58
I,Cervid,27.64
I,Cervid,27.79
I,Ursid,27.8
I,Ursid,27.83
I,Cervid,28.12
I,Ursid,28.19
I,Cervid,28.19
K,Cervid,28.62
I,Bos.Bison,28.71
I,Ursid,28.73
I,Ursid,28.94
I,Cervid,29.08
I,Cervid,29.26
I,Bos.Bison,29.29
I,Cervid,29.4
I,Cervid,29.45
I,Cervid,29.87
I,Ursid,29.9
I,Cervid,29.97
I,Ursid,30.03
I,Ursid,30.06
I,Cervid,30.07
I,Ursid,30.2
I,Ursid,30.52
I,Ursid,30.62
I,Bos.Bison,30.62
J,Ursid,30.64
I,Ursid,30.65
I,Bos.Bison,30.66
I,Ursid,30.7
I,Bos.Bison,30.91
I,Ursid,30.93
I,Ursid,30.99
I,Cervid,31.04
I,Bos.Bison,31.16
I,Bos.Bison,31.23
I,Bos.Bison,31.29
I,Bos.Bison,31.45
I,Cervid,31.51
I,Cervid,31.62
I,Bos.Bison,31.77
I,Cervid,31.77
I,Cervid,31.8
I,Ursid,31.85
I,Ursid,32.22
I,Bos.Bison,32.27
I,Ursid,32.31
J,Bos.Bison,32.31
I,Cervid,32.5
I,Ursid,32.56
I,Bos.Bison,32.64
I,Ursid,32.66
I,Bos.Bison,32.66
I,Ursid,32.72
I,Cervid,32.82
I,Ursid,32.98
I,Cervid,33.1
I,Bos.Bison,33.13
I,Cervid,33.14
I,Bos.Bison,33.16
I,Cervid,33.19
I,Cervid,33.22
I,Bos.Bison,33.24
I,Bos.Bison,33.4
I,Cervid,33.4
I,Cervid,33.6
I,Bos.Bison,33.62
I,Bos.Bison,33.84
I,Ursid,33.87
I,Cervid,33.89
J,Ursid,34.17
I,Bos.Bison,34.19
I,Cervid,34.2
I,Cervid,34.29
I,Cervid,34.35
I,Cervid,34.47
I,Cervid,34.48
K,Cervid,34.51
I,Bos.Bison,34.72
I,Bos.Bison,34.97
I,Cervid,35.01
