lev.final,TAXON,ELEMENT_MAMMAL,NISP,MNE,MNI,MAU,MAU_percent
I,Bison_priscus,Axis,1,1,1,1,100
I,Bison_priscus,Radius,1,1,1,0.5,50
I,Bison_priscus,Scapula,1,1,1,0.5,50
I,Bison_priscus,Trapezoid,1,1,1,0.5,50
I,Bison_priscus,Ulna,3,1,1,0.5,50
I,Bos_Bison_sp.,Acetabulum,1,1,1,0.5,5.88235294117647
I,Bos_Bison_sp.,Atlas,1,1,1,1,11.76470588235294
I,Bos_Bison_sp.,Axis,1,1,1,1,11.76470588235294
I,Bos_Bison_sp.,Cranium,1,1,1,1,11.76470588235294
I,Bos_Bison_sp.,Femur,36,15,4,7.5,88.23529411764706
I,Bos_Bison_sp.,Horncore,4,2,2,1,11.76470588235294
I,Bos_Bison_sp.,Humerus,35,13,7,6.5,76.47058823529412
I,Bos_Bison_sp.,Metacarpal,4,2,1,1,11.76470588235294
I,Bos_Bison_sp.,Metapodial,5,2,1,NA,NA
I,Bos_Bison_sp.,Metatarsal,5,2,1,1,11.76470588235294
I,Bos_Bison_sp.,Phalanx_3,1,1,1,0.125,1.4705882352941175
I,Bos_Bison_sp.,Radio-ulna,1,1,1,0.5,5.88235294117647
I,Bos_Bison_sp.,Radius,18,7,3,3.5,41.17647058823529
I,Bos_Bison_sp.,Rib,15,7,5,0.269230769230769,3.167420814479635
I,Bos_Bison_sp.,Scapula,1,1,1,0.5,5.88235294117647
I,Bos_Bison_sp.,Sesamoid,1,1,1,NA,NA
I,Bos_Bison_sp.,Tibia,41,17,7,8.5,100
I,Bos_Bison_sp.,Ulna,19,10,4,5,58.82352941176471
I,Bos_Bison_sp.,Vert_Caudal,1,1,1,NA,NA
I,Bos_Bison_sp.,Vert_Lumbar,1,1,1,0.166666666666667,1.9607843137254939
I,Bos_Bison_sp.,Vert_Thoracic,2,1,1,0.0769230769230769,0.9049773755656106
I,Bos_primigenius,Atlas,1,1,1,1,33.33333333333333
I,Bos_primigenius,Axis,1,1,1,1,33.33333333333333
I,Bos_primigenius,Calcaneum,1,1,1,0.5,16.666666666666664
I,Bos_primigenius,Cuneiform,1,1,1,0.5,16.666666666666664
I,Bos_primigenius,Femur,2,2,2,1,33.33333333333333
I,Bos_primigenius,Humerus,5,3,2,1.5,50
I,Bos_primigenius,Lunate,1,1,1,0.5,16.666666666666664
I,Bos_primigenius,Metatarsal,8,6,3,3,100
I,Bos_primigenius,Phalanx_1,4,5,2,0.625,20.833333333333336
I,Bos_primigenius,Phalanx_2,6,3,2,0.375,12.5
I,Bos_primigenius,Phalanx_3,1,1,1,0.125,4.166666666666666
I,Bos_primigenius,Radio-ulna,2,2,1,1,33.33333333333333
I,Bos_primigenius,Radius,4,4,2,2,66.66666666666666
I,Bos_primigenius,Rib,4,3,2,0.115384615384615,3.8461538461538334
I,Bos_primigenius,Scapula,1,1,1,0.5,16.666666666666664
I,Bos_primigenius,Sesamoid,2,2,2,NA,NA
I,Bos_primigenius,Tibia,8,3,2,1.5,50
I,Bos_primigenius,Ulna,1,2,1,1,33.33333333333333
I,Bos_primigenius,Vert_Cervical,1,1,1,0.142857142857143,4.761904761904766
I,Canis_lupus,Femur,1,1,1,0.5,50
I,Canis_lupus,Phalanx_3,1,2,1,0.111111111111111,11.1111111111111
I,Canis_lupus,Phalanx_4/1,1,1,1,0.0555555555555556,5.55555555555556
I,Canis_lupus,Radius,1,2,1,1,100
I,Canis_lupus,Tibia,1,1,1,0.5,50
I,Canis_sp.,Radius,1,2,1,1,100
I,Canis_sp.,Rib,2,1,1,0.0384615384615385,3.84615384615385
I,Capra_caucasica,Astragalus,1,1,1,0.5,100
I,Capra_caucasica,Lunate,1,1,1,0.5,100
I,Capra_caucasica,Metatarsal,1,1,1,0.5,100
I,Capra_caucasica,Phalanx_1,1,1,1,0.125,25
I,Capra_caucasica,Phalanx_3,1,1,1,0.125,25
I,Capra_caucasica,Rib,1,1,1,0.0384615384615385,7.6923076923077
I,Capra_caucasica,Sacrum,1,1,1,NA,NA
I,Capra_caucasica,Scapula,1,1,1,0.5,100
I,Capra_caucasica,Unciform,1,1,1,0.5,100
I,Capra_caucasica,Vert_Thoracic,1,1,1,0.0769230769230769,15.38461538461538
I,Capra_ibex,Astragalus,1,1,1,0.5,50
I,Capra_ibex,Metacarpal,1,1,1,0.5,50
I,Capra_ibex,Phalanx_1,6,5,4,0.625,62.5
I,Capra_ibex,Phalanx_2,2,3,1,0.375,37.5
I,Capra_ibex,Phalanx_3,1,1,1,0.125,12.5
I,Capra_ibex,Radius,1,1,1,0.5,50
I,Capra_ibex,Triquetrum,1,1,1,0.5,50
I,Capra_ibex,Vert_Cervical,1,1,1,0.142857142857143,14.285714285714299
I,Capra_sp.,Acetabulum,1,1,1,0.5,16.666666666666664
I,Capra_sp.,Femur,5,6,1,3,100
I,Capra_sp.,Humerus,5,6,1,3,100
I,Capra_sp.,Ischium,1,1,1,0.5,16.666666666666664
I,Capra_sp.,Metacarpal,5,4,2,2,66.66666666666666
I,Capra_sp.,Metapodial,1,1,1,NA,NA
I,Capra_sp.,Os_temporalis,1,1,1,0.5,16.666666666666664
I,Capra_sp.,Phalanx_1,2,3,1,0.375,12.5
I,Capra_sp.,Phalanx_2,1,1,1,0.125,4.166666666666666
I,Capra_sp.,Radio-ulna,1,1,1,0.5,16.666666666666664
I,Capra_sp.,Radius,2,2,1,1,33.33333333333333
I,Capra_sp.,Rib,1,1,1,0.0384615384615385,1.2820512820512833
I,Capra_sp.,Sacrum,2,1,1,NA,NA
I,Capra_sp.,Sesamoid,1,1,1,NA,NA
I,Capra_sp.,Tibia,1,1,1,0.5,16.666666666666664
I,Capra_sp.,Trapezoid,2,2,2,1,33.33333333333333
I,Capra_sp.,Ulna,1,1,1,0.5,16.666666666666664
I,Capreolus_capreolus,Femur,1,1,1,0.5,100
I,Capreolus_capreolus,Humerus,1,1,1,0.5,100
I,Capreolus_capreolus,Tibia,1,1,1,0.5,100
I,Cervid_sp.,Antler,6,3,3,1.5,25
I,Cervid_sp.,Astragalus,1,1,1,0.5,8.333333333333332
I,Cervid_sp.,Calcaneum,2,2,1,1,16.666666666666664
I,Cervid_sp.,Carpal_Tarsal_Indet,1,1,1,NA,NA
I,Cervid_sp.,Cranium,2,1,1,1,16.666666666666664
I,Cervid_sp.,Femur,17,10,3,5,83.33333333333334
I,Cervid_sp.,Humerus,19,8,3,4,66.66666666666666
I,Cervid_sp.,Ilium,3,2,1,1,16.666666666666664
I,Cervid_sp.,Ischium,1,1,1,0.5,8.333333333333332
