lev.final,TAXON,ELEMENT_MAMMAL,scan_zone,n,scan_site,horse,wildebeest,reindeer,Bison,sheep
I,Bison_priscus,Ulna,zone1,1,UL1,0.43,0.46,0.49,0.34,0.18
I,Bison_priscus,Ulna,zone2,0,UL2,0.65,0.73,0.68,0.69,0.26
I,Bos_Bison_sp.,Humerus,zone1,1,HU1,0.23,0.32,0.26,0.24,0.13
I,Bos_Bison_sp.,Humerus,zone2,7,HU2,0.25,0.42,0.31,0.25,0.22
I,Bos_Bison_sp.,Humerus,zone3,11,HU3,0.64,0.7,0.61,0.45,0.42
I,Bos_Bison_sp.,Humerus,zone4,9,HU4,0.55,0.61,0.62,0.48,0.37
I,Bos_Bison_sp.,Humerus,zone5,2,HU5,0.36,0.51,0.48,0.37,0.34
I,Bos_Bison_sp.,Metacarpal,zone1,1,MC1,0.55,0.58,0.63,0.59,0.4
I,Bos_Bison_sp.,Metacarpal,zone2,0,MC2,0.66,0.72,0.69,0.63,0.55
I,Bos_Bison_sp.,Metacarpal,zone3,0,MC3,0.84,0.86,0.79,0.69,0.67
I,Bos_Bison_sp.,Metacarpal,zone4,0,MC4,0.67,0.62,0.59,0.6,0.54
I,Bos_Bison_sp.,Metacarpal,zone5,0,MC5,0.56,0.56,0.48,0.46,0.38
I,Bos_Bison_sp.,Metacarpal,zone6,1,MC6,0.6,0.62,0.68,0.53,0.5
I,Bos_Bison_sp.,Tibia,zone1,5,TI1,0.3,0.42,0.35,0.41,0.16
I,Bos_Bison_sp.,Tibia,zone2,4,TI2,0.44,0.55,0.44,0.58,0.2
I,Bos_Bison_sp.,Tibia,zone3,10,TI3,0.82,0.77,0.71,0.76,0.59
I,Bos_Bison_sp.,Tibia,zone4,9,TI4,0.55,0.57,0.53,0.44,0.36
I,Bos_Bison_sp.,Tibia,zone5,0,TI5,0.43,0.48,0.39,0.41,0.28
I,Bos_Bison_sp.,Ulna,zone1,3,UL1,0.43,0.46,0.49,0.34,0.18
I,Bos_Bison_sp.,Ulna,zone2,7,UL2,0.65,0.73,0.68,0.69,0.26
I,Bos_Bison_sp.,Vert_Thoracic,zone1,2,TH1,0.32,0.38,0.38,0.42,0.24
I,Bos_Bison_sp.,Vert_Thoracic,zone2,1,TH2,0.49,0.47,0.53,0.38,0.19
I,Capra_caucasica,Sacrum,zone1,1,SC1,0.36,0.35,0.37,0.27,0.2
I,Capra_caucasica,Sacrum,zone2,0,SC2,0.37,0.41,0.4,0.26,0.16
I,Capra_caucasica,Vert_Thoracic,zone1,1,TH1,0.32,0.38,0.38,0.42,0.24
I,Capra_caucasica,Vert_Thoracic,zone2,0,TH2,0.49,0.47,0.53,0.38,0.19
I,Capra_ibex,Astragalus,zone1,1,AS1,0.67,0.67,0.68,0.72,0.54
I,Capra_ibex,Astragalus,zone2,1,AS2,0.64,0.77,0.7,0.62,0.63
I,Capra_ibex,Metacarpal,zone1,1,MC1,0.55,0.58,0.63,0.59,0.4
I,Capra_ibex,Metacarpal,zone2,1,MC2,0.66,0.72,0.69,0.63,0.55
I,Capra_ibex,Metacarpal,zone3,0,MC3,0.84,0.86,0.79,0.69,0.67
I,Capra_ibex,Metacarpal,zone4,0,MC4,0.67,0.62,0.59,0.6,0.54
I,Capra_ibex,Metacarpal,zone5,0,MC5,0.56,0.56,0.48,0.46,0.38
I,Capra_ibex,Metacarpal,zone6,0,MC6,0.6,0.62,0.68,0.53,0.5
I,Capra_ibex,Vert_Cervical,zone1,1,CE1,0.5,0.52,0.45,0.37,0.12
I,Capra_ibex,Vert_Cervical,zone2,0,CE2,0.41,0.47,0.43,0.62,0.13
I,Capra_sp.,Metacarpal,zone1,2,MC1,0.55,0.58,0.63,0.59,0.4
I,Capra_sp.,Metacarpal,zone2,2,MC2,0.66,0.72,0.69,0.63,0.55
I,Capra_sp.,Metacarpal,zone3,1,MC3,0.84,0.86,0.79,0.69,0.67
I,Capra_sp.,Metacarpal,zone4,1,MC4,0.67,0.62,0.59,0.6,0.54
I,Capra_sp.,Metacarpal,zone5,1,MC5,0.56,0.56,0.48,0.46,0.38
I,Capra_sp.,Metacarpal,zone6,1,MC6,0.6,0.62,0.68,0.53,0.5
I,Capra_sp.,Sacrum,zone1,1,SC1,0.36,0.35,0.37,0.27,0.2
I,Capra_sp.,Sacrum,zone2,1,SC2,0.37,0.41,0.4,0.26,0.16
I,Capra_sp.,Ulna,zone1,1,UL1,0.43,0.46,0.49,0.34,0.18
I,Capra_sp.,Ulna,zone2,0,UL2,0.65,0.73,0.68,0.69,0.26
I,Cervid_sp.,Calcaneum,zone1,1,CA1,0.45,0.57,0.52,0.46,0.43
I,Cervid_sp.,Calcaneum,zone2,1,CA2,0.69,0.76,0.8,0.8,0.58
I,Cervid_sp.,Calcaneum,zone3,0,CA3,0.55,0.67,0.66,0.49,0.56
I,Cervid_sp.,Calcaneum,zone4,1,CA4,0.72,0.75,0.73,0.66,0.43
I,Cervid_sp.,Ilium,zone1,1,IL1,0.29,0.39,0.43,0.22,0.23
I,Cervid_sp.,Ilium,zone2,0,IL2,0.69,0.62,0.7,0.52,0.47
I,Cervid_sp.,Metatarsal,zone1,2,MR1,0.59,0.63,0.58,0.52,0.43
I,Cervid_sp.,Metatarsal,zone2,4,MR2,0.75,0.71,0.57,0.59,0.53
I,Cervid_sp.,Metatarsal,zone3,0,MR3,0.91,0.84,0.65,0.67,0.68
I,Cervid_sp.,Metatarsal,zone4,1,MR4,0.71,0.65,0.54,0.51,0.51
I,Cervid_sp.,Metatarsal,zone5,0,MR5,0.58,0.54,0.41,0.4,0.31
I,Cervid_sp.,Metatarsal,zone6,0,MR6,0.6,0.65,0.59,0.48,0.39
I,Cervid_sp.,Scapula,zone1,1,SP1,0.64,0.68,0.66,0.5,0.25
I,Cervid_sp.,Scapula,zone2,3,SP2,0.67,0.71,0.73,0.48,0.33
I,Cervid_sp.,Scapula,zone3,0,SP3,0.55,0.74,0.73,0.28,0.19
I,Cervid_sp.,Scapula,zone4,0,SP4,0.66,0.65,0.69,0.43,0.32
I,Cervid_sp.,Ulna,zone1,1,UL1,0.43,0.46,0.49,0.34,0.18
I,Cervid_sp.,Ulna,zone2,1,UL2,0.65,0.73,0.68,0.69,0.26
I,Cervid_sp.,Vert_Cervical,zone1,2,CE1,0.5,0.52,0.45,0.37,0.12
I,Cervid_sp.,Vert_Cervical,zone2,1,CE2,0.41,0.47,0.43,0.62,0.13
I,Cervid_sp.,Vert_Thoracic,zone1,1,TH1,0.32,0.38,0.38,0.42,0.24
I,Cervid_sp.,Vert_Thoracic,zone2,0,TH2,0.49,0.47,0.53,0.38,0.19
I,Cervus_elaphus,Astragalus,zone1,1,AS1,0.67,0.67,0.68,0.72,0.54
I,Cervus_elaphus,Astragalus,zone2,0,AS2,0.64,0.77,0.7,0.62,0.63
I,Cervus_elaphus,Calcaneum,zone1,1,CA1,0.45,0.57,0.52,0.46,0.43
I,Cervus_elaphus,Calcaneum,zone2,1,CA2,0.69,0.76,0.8,0.8,0.58
I,Cervus_elaphus,Calcaneum,zone3,0,CA3,0.55,0.67,0.66,0.49,0.56
I,Cervus_elaphus,Calcaneum,zone4,0,CA4,0.72,0.75,0.73,0.66,0.43
I,Cervus_elaphus,Humerus,zone1,2,HU1,0.23,0.32,0.26,0.24,0.13
I,Cervus_elaphus,Humerus,zone2,3,HU2,0.25,0.42,0.31,0.25,0.22
I,Cervus_elaphus,Humerus,zone3,0,HU3,0.64,0.7,0.61,0.45,0.42
I,Cervus_elaphus,Humerus,zone4,5,HU4,0.55,0.61,0.62,0.48,0.37
I,Cervus_elaphus,Humerus,zone5,2,HU5,0.36,0.51,0.48,0.37,0.34
I,Cervus_elaphus,Metacarpal,zone1,2,MC1,0.55,0.58,0.63,0.59,0.4
I,Cervus_elaphus,Metacarpal,zone2,6,MC2,0.66,0.72,0.69,0.63,0.55
I,Cervus_elaphus,Metacarpal,zone3,2,MC3,0.84,0.86,0.79,0.69,0.67
I,Cervus_elaphus,Metacarpal,zone4,3,MC4,0.67,0.62,0.59,0.6,0.54
I,Cervus_elaphus,Metacarpal,zone5,0,MC5,0.56,0.56,0.48,0.46,0.38
I,Cervus_elaphus,Metatarsal,zone1,2,MR1,0.59,0.63,0.58,0.52,0.43
I,Cervus_elaphus,Metatarsal,zone2,5,MR2,0.75,0.71,0.57,0.59,0.53
I,Cervus_elaphus,Metatarsal,zone3,2,MR3,0.91,0.84,0.65,0.67,0.68
I,Cervus_elaphus,Metatarsal,zone4,4,MR4,0.71,0.65,0.54,0.51,0.51
I,Cervus_elaphus,Metatarsal,zone5,1,MR5,0.58,0.54,0.41,0.4,0.31
I,Cervus_elaphus,Metatarsal,zone6,0,MR6,0.6,0.65,0.59,0.48,0.39
